hull_type,make,variant,n,predicted_median_usd,prediction_low_95_usd,prediction_high_95_usd,within_variant_sigma_log
monohull,Dufour,500 GL,5,298533.8102952808,200791.36025561334,443855.92973703257,0.18472447820907104
monohull,Dufour,512 GL,3,350043.95228042844,202976.28727509856,603670.3605778049,0.24079463597978915
monohull,Dufour,520,5,408249.49008185463,308233.3396563287,540719.0745099927,0.1308858457960983
monohull,Dufour,520 GL,3,414174.0859748607,356073.8469750193,481754.4870268045,0.06678480311546406
monohull,Dufour,520 GL Owner Version,1,411721.2497800201,235347.91182318053,720271.4747168851,0.20177134958507498
monohull,Dufour,525 GL,8,266672.3933618449,180740.4532489367,393460.1474269175,0.18709894949475916
monohull,Dufour,56 Exclusive,1,482334.60581310705,275711.88598796574,843803.5637500224,0.20177134958507498
monohull,Elan,394 Impression,1,125438.35645459856,71703.01574158431,219443.78639161628,0.20177134958507498
monohull,Elan,40 E5,1,167477.1734913511,95733.22504072207,292987.13825551234,0.20177134958507498
monohull,Elan,40 Impression,6,163559.22123216128,148837.1875895943,179737.46536945025,0.04455373491446277
monohull,Elan,410,2,99410.28657351268,96483.47676079939,102425.88066274032,0.012449001126404013
monohull,Elan,434 Impression,2,114418.77946646429,81307.23313992411,161014.66731828835,0.14231628742038893
monohull,Elan,444 Impression,6,146075.58037452665,116825.74717089479,182648.73710194277,0.10554381132588476
monohull,Elan,45 Impression,9,166991.307963702,146432.95437062447,190435.9374246302,0.06358796103901651
monohull,Elan,450,9,162331.870217973,127312.64117903779,206983.65727411883,0.11761592493331531
monohull,Elan,494 Impression,2,211857.09857445376,157137.7279188292,285631.15179806296,0.12446961960453518
monohull,Elan,50,2,332722.78989022516,313687.4713724228,352913.2178215112,0.02454176447532408
monohull,Elan,50 Impression,6,263037.73880223784,228134.87294084672,303280.4723902704,0.06724501260409373
monohull,Elan,514 IMPRESSION,2,194858.65932824777,112931.15724984674,336221.6242165857,0.2272426904591045
monohull,Elan,GT5,1,239101.749153673,136675.2321058305,418288.27043131203,0.20177134958507498
monohull,Elan,IMPRESSION 394,1,119345.45117952167,68220.1920248295,208784.76437092948,0.20177134958507498
monohull,Elan,Impression 384,5,82755.08703666073,54473.89017713026,125719.02627436095,0.19476007172593376
monohull,Elan,Impression 40,4,169484.31472120265,127226.93239967339,225777.1400655842,0.13087296207536472
monohull,Elan,Impression 434,16,130432.8084271473,74807.09234977444,227421.18400547898,0.27517672193335463
monohull,Elan,Impression 444,1,165873.0657875412,94816.28573134019,290180.8876137367,0.20177134958507498
monohull,Elan,Impression 45,7,218143.19594946998,164986.54471503373,288426.27149529447,0.1332907152019418
monohull,Elan,Impression 494,2,202980.175162985,186802.3914289114,220559.01529973347,0.03459987043703627
monohull,Elan,Impression 50,4,289836.8674545568,266761.7803413144,314907.96630757116,0.03785899789617265
monohull,Grand Soleil,37 B&C,1,146149.85177683743,83542.11119130632,255676.794251452,0.20177134958507498
monohull,Grand Soleil,39,5,210974.53780120774,113394.09298325176,392527.1099175102,0.28916963632598425
monohull,Grand Soleil,40,4,138559.38325737335,96719.02715929104,198499.74976531186,0.16404928496318885
monohull,Grand Soleil,40 B&C,1,173018.35122049748,98900.67051090971,302680.95963775355,0.20177134958507498
monohull,Grand Soleil,43,7,197039.62134420517,124398.85152457627,312097.8361427843,0.21949396655972805
monohull,Grand Soleil,43 BC,1,184214.742356122,105300.74647282007,322268.098166727,0.20177134958507498
monohull,Grand Soleil,43 Maletto,1,333361.5122907638,190555.95464593405,583187.7470492695,0.20177134958507498
monohull,Grand Soleil,43 Maletto - GS 43,1,310381.9604927803,177420.3937945629,542986.9663737275,0.20177134958507498
monohull,Grand Soleil,45,9,188799.22588652113,151486.6648547495,235302.21441951604,0.10657515586051786
monohull,Grand Soleil,45 RACING,1,202154.6271781222,115555.53520053807,353652.4080703258,0.20177134958507498
monohull,Grand Soleil,46,3,292121.9555951872,233115.2326069028,366064.6109928625,0.09969829347077412
monohull,Grand Soleil,46 Jezequel,1,245709.19510279375,140452.17732651308,429847.4378059085,0.20177134958507498
monohull,Grand Soleil,46 LC,3,409639.1059441383,383291.60658849846,437797.73476455855,0.029374374685797837
monohull,Grand Soleil,47,1,355744.8532267517,203350.70971802628,622345.5072903762,0.20177134958507498
monohull,Grand Soleil,48 Ocean Cruiser,1,269510.98767414055,154057.74707135357,471486.6591126279,0.20177134958507498
monohull,Grand Soleil,50,15,286223.9763231857,196718.55744635023,416453.66703442927,0.18525139998630125
monohull,Grand Soleil,54,5,391524.46905880613,324632.35473733355,472200.0368564962,0.08726053495886159
monohull,Grand Soleil,56,4,412361.3459284032,306593.2315608055,554617.1999630736,0.13524931444532076
monohull,Grand Soleil,56 EXTREME,1,470302.7619412582,268834.24891643954,822754.871379225,0.20177134958507498
monohull,Hallberg-Rassy,40,4,267622.1826626755,168224.6649270758,425749.89038725046,0.21186782529529294
monohull,Hallberg-Rassy,412,2,383690.31138101575,321341.1706601471,458136.922652093,0.07387309085985905
monohull,Hallberg-Rassy,43,2,336233.1342622414,265884.9448594305,425194.1404037743,0.09778841880216493
monohull,Hallberg-Rassy,44,1,626550.6129091149,358148.57377043227,1096097.2604302932,0.20177134958507498
monohull,Hallberg-Rassy,48,1,523567.5755341641,299281.4572143817,915937.1539492419,0.20177134958507498
monohull,Hallberg-Rassy,54,5,770198.8951454704,657513.6097220884,902196.2881255554,0.0736739580690283
monohull,Hanse,385,1,186456.83223165383,106582.36885837399,326190.4446134065,0.20177134958507498
monohull,Hanse,388,1,195556.3111960822,111783.80884744764,342109.21280029486,0.20177134958507498
monohull,Hanse,400,17,115069.75881308984,90442.75058930262,146402.5508625872,0.11940633329253147
monohull,Hanse,400 Epoxy,1,119296.71017221372,68192.33071260378,208699.49610451952,0.20177134958507498
monohull,Hanse,400e,3,113587.87422872562,75641.88339586135,170569.5917733682,0.17964133591292755
monohull,Hanse,411,6,104202.95556156464,81931.5250076023,132528.42476394642,0.11358143111134529
monohull,Hanse,415,15,176953.44406089836,132956.4273406537,235509.64771929567,0.14121826475512841
monohull,Hanse,418,3,231432.57273024324,136578.86516502235,392161.96192451764,0.23302550010518758
monohull,Hanse,430,2,146105.8113072191,139827.84388033103,152665.64587815607,0.01829581995129992
monohull,Hanse,430e,8,141415.9880821265,98637.66229435398,202746.9145159258,0.17329054233751048
monohull,Hanse,445,19,174028.23102614924,118836.75823339602,254852.33394375545,0.18969786091469645
monohull,Hanse,455,25,265939.19000766677,178529.72521143634,396144.97080625896,0.19937434382015673
monohull,Hanse,461,9,172291.21854475787,105198.27525180938,282174.43600271345,0.23878710541132353
monohull,Hanse,470,6,217174.77803627605,172130.1135062971,274007.1638503877,0.10980027681065409
monohull,Hanse,470e,9,187687.25065877428,152481.3065392036,231021.78791203292,0.10054833329475095
monohull,Hanse,495,8,246883.621526455,149115.9861435714,408752.43596841936,0.24252926768751304
monohull,Hanse,505,15,306356.70753500983,194611.30582649147,482266.08342769573,0.22415181002117768
monohull,Hanse,508,2,410667.5415821704,367854.92059963883,458462.8892124958,0.04586351399769306
monohull,Hanse,531,6,237966.9374111024,133460.1396968223,424308.4371817712,0.27317781220061754
monohull,Hanse,540,3,245328.0521347005,222410.35155244678,270607.248017473,0.04333317048273266
monohull,Hanse,540e,11,266428.11974149186,223103.85569946206,318165.46946910466,0.08668970209888119
monohull,Hanse,545,1,330995.88261422276,189203.71449603082,579049.2781782394,0.20177134958507498
monohull,Hanse,548,4,564102.7190782551,380689.76609118533,835882.4061355529,0.17945658460049596
monohull,Hanse,575,3,420276.30185286485,285525.307825994,618621.7650687703,0.17081100102453123
monohull,Hanse,588,1,573346.2337455114,327735.91097322904,1003020.7027786296,0.20177134958507498
monohull,Harmony,38,1,91668.89238181035,52399.73018815477,160366.9675460946,0.20177134958507498
monohull,Harmony,42 Elegance,1,114242.09285853215,65303.012683777626,199856.87098230363,0.20177134958507498
monohull,Harmony,47,1,151206.57377654003,86432.63229978978,264523.1013437022,0.20177134958507498
monohull,Hunter,38,23,107199.92522259844,82312.16934272792,139612.6971199304,0.13194609864934415
monohull,Hunter,380,1,108560.77185195086,62055.458577667065,189917.88079917198,0.20177134958507498
monohull,Hunter,39,2,148002.15874342495,144922.38360897364,151147.3828074521,0.008760069389420977
monohull,Hunter,40,2,179954.49865628773,166605.33510815498,194373.2568084535,0.03210842852965623
monohull,Hunter,41,1,128786.95197219134,73617.13837437773,225301.87079453588,0.20177134958507498
monohull,Hunter,41 Aft Cockpit,1,126617.95690665119,72377.29841056143,221507.3975305376,0.20177134958507498
monohull,Hunter,41 DS,14,130996.12696150182,102219.03089029057,167874.66217842879,0.12226477327131922
monohull,Hunter,41 Deck Salon,2,99845.8782257596,96485.44309519492,103323.35198831349,0.014261875392161727
monohull,Hunter,44,3,160750.5646360292,145510.20863501373,177587.15538384713,0.04401160058781381
monohull,Hunter,44 DS,3,160609.18163281694,145013.41951031983,177882.22160313564,0.045133923194725596
monohull,Hunter,44 Deck Salon,1,127859.4180010899,73086.94183154585,223679.22862687465,0.20177134958507498
monohull,Hunter,45 Center Cockpit,6,188526.20798999936,141751.95872961666,250734.6735637211,0.1346965606403461
monohull,Hunter,45 DS,2,207934.8692804096,146554.08425578394,295023.57496362046,0.14573229479672545
monohull,Hunter,45cc,2,187263.50919146728,169091.03263853356,207389.01009414802,0.042524283548222463
monohull,Hunter,466,1,149387.57398701122,85392.85647500266,261340.91518835162,0.20177134958507498
monohull,Hunter,49,6,248968.98853306696,187328.3557339942,330892.54965328245,0.134369256624512
monohull,Hunter,50,2,277817.60384679155,252610.1941831032,305540.40487862256,0.03962392544607862
monohull,Hunter,50 Center Cockpit,3,291606.3115458095,254689.59857919154,333874.02315494133,0.059808377695350246
monohull,Hunter,AC 50,1,283120.68497847865,161837.3159977398,495295.67249992216,0.20177134958507498
monohull,Hunter,M-H 40,1,178388.33809583323,101970.25994381704,312075.2971123798,0.20177134958507498
monohull,Hunter,OV,1,198889.1676581687,113688.93472855662,347939.7630579008,0.20177134958507498
monohull,Hunter,Passage 456,1,176407.48477917528,100837.96548014156,308609.96191204863,0.20177134958507498
