artifact,type,predicted_SiO2,predicted_Na2O,predicted_K2O,predicted_CaO,predicted_MgO,predicted_Al2O3,predicted_Fe2O3,predicted_CuO,predicted_PbO,predicted_BaO,predicted_P2O5,predicted_SrO,predicted_SnO2,predicted_SO2
27,high-potassium,74.34371193595763,0.294937011220643,1.8235828759748884,5.684500390916149,2.7930330844050206,9.7547623747014,1.0458143050640138,2.1061246164922727,0.2514164812933735,0.24673098729423135,1.2450123420272516,0.09323013648778405,0.14991247634951557,0.16723098181581933
34,lead-barium,67.47515349351416,0.23164649370893348,0.2547791379778505,0.26458198107546504,0.09164647106822953,2.221405415632429,0.3431378908861845,0.9421488577540089,19.540221404631357,8.312447068540228,0.04307733262464726,0.13251718032014512,0.08063047857917242,0.06660679368719338
36,lead-barium,67.93493909216213,4.781541686124098,0.1298899309871729,0.11425914777951954,0.083443616549667,1.99736019008892,0.21268868840120703,0.38625586463714123,15.90124415233975,8.1956036017364,0.008074051622619286,0.12064123700442349,0.07341361493087532,0.06064512563608872
38,lead-barium,62.5545890916648,3.2887765198675014,0.10159519619240577,0.23234775145551503,0.09331054169688953,3.5498486341568443,0.2132714479498512,0.45880626414420145,20.85012665631041,8.197387867527016,0.06125972233555528,0.24876957393419338,0.08209452634461785,0.06781620642018954
39,lead-barium,59.00250668359639,0.2801713247922655,0.12068579681163631,0.44877251432395443,0.11084438534167912,0.8171850751270915,0.08645759021796041,0.6544294892679792,30.53449733807846,7.1532548912424625,0.17517232164741073,0.43794235630946016,0.09752078540220063,0.08055944784104624
40,lead-barium,45.53227396897873,0.338991723043934,0.14602310296544702,0.9165298488524681,0.1341155423546004,0.8915889370543733,0.20043047977723805,0.08940057175599952,42.58416280267254,8.035156800412926,0.324027968889156,0.5918310738231418,0.11799472733550186,0.0974724520839261
41,lead-barium,47.22552847101705,0.30166417769917564,0.6083004203979837,2.282385095674051,3.466455460730427,6.194391212901343,1.7728232367817922,0.1608191507952054,25.123890021512548,11.005766522977616,1.2821838401714822,0.3840510426291506,0.10500192180175881,0.08673942491041016
43,lead-barium,46.0080799908078,0.32610315793593847,0.14047126160205833,2.8288582863734297,1.2347531890973595,5.554801212465494,1.1224552358222721,3.0866495420139066,31.534263462350538,6.313080981944894,1.1629762444814435,0.48023238127967255,0.11350853306501027,0.0937665207601785
48,lead-barium,72.44375816399197,1.3633495126699537,0.23490901132202044,0.6890339375031699,1.0383121998153002,13.48252724731295,0.5416688832493916,0.044659946047554154,4.750199214353564,4.376955319467904,0.10038952868495093,0.1084714280567905,0.7770733635523663,0.04869224397212893
49,lead-barium,61.27373310217924,0.2560144866183384,0.11028006644065065,1.7533162985881992,1.5528441060181737,8.32576633549644,2.257618281063748,0.4929124064671047,16.192391067082518,5.722527107179447,1.5871647011722205,0.3127061827058624,0.08911238089006163,0.07361347809799712
50,lead-barium,47.85355714874374,0.3022839592300586,0.1302109718405519,1.5271346744111494,0.6208693834907025,3.618890247356742,0.3400210102008628,0.9950433828979502,26.066544641875545,16.65858967690068,1.1336529914301963,0.5610666243817954,0.10521765259331739,0.08691763464670998
51,lead-barium,55.990186421887344,0.2874025668555038,0.12380070591586666,1.9171027714011326,1.6011445417512649,6.839128090629056,0.7537762211569445,0.8510965983726334,24.91907735921021,4.771133130385931,1.3818146533161415,0.18581385311451507,0.295884393013941,0.082638692989533
52,lead-barium,58.32772892450242,3.468280281548574,0.1155550646809372,0.9252402085066062,0.6185959344266719,1.9113216551528145,0.20177234201211586,0.524811808154097,23.918521131286234,8.629897046822945,0.8692985880716264,0.31846753141216877,0.09337487063598324,0.07713461278680576
54,lead-barium,50.06781048414809,0.31568449508890534,0.28541222573138314,0.7440422479669595,1.5089493144914194,7.215075728882099,0.09741653873677865,0.9167594319780709,32.29487083499556,3.956927920217869,1.5818615333562758,0.814536416861179,0.10988205135980098,0.09077077618559963
56,lead-barium,61.38218734430193,0.24539272249283037,0.1057046657711402,0.4583015097565849,0.09708490157658678,2.8325970369855966,0.07572532078179511,0.5503892290223317,19.334547133514928,14.340280058232993,0.35933859020590303,0.0624769482423628,0.08541520459750394,0.0705593345175175
57,lead-barium,55.68580686790049,0.25618045218404417,0.11035155729202659,0.5161814372940046,0.10135285893354107,3.4724398456849834,0.0790542878476311,0.8407482916437318,21.991343515877844,16.704766969655882,0.013719064494694953,0.06522350251147019,0.08917014944410392,0.07366119923556817
58,lead-barium,62.607086406396974,0.25601566986740304,0.37852277944285717,1.2932435955422672,0.8077886225213218,5.272841580426854,0.6858963929798767,2.1334190283671193,18.044455427191874,6.955797187163743,1.2442820226869105,0.1579246763375416,0.08911279275011971,0.07361381832514693
